country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name
Algeria,DZA,1/29/2021,0,0,0,0,0,0,0,0,0,Sputnik V,Ministry of Health
Algeria,DZA,1/30/2021,30,0,0,30,30,0,0,0,1,Sputnik V,Ministry of Health
Andorra,AND,1/25/2021,576,576,0,0,0,0,0,0,0,Pfizer/BioNTech,Government of Andorra
Andorra,AND,1/26/2021,0,0,0,0,66,0,0,0,854,Pfizer/BioNTech,Government of Andorra
Andorra,AND,1/27/2021,0,0,0,0,66,0,0,0,854,Pfizer/BioNTech,Government of Andorra
Andorra,AND,1/28/2021,0,0,0,0,66,0,0,0,854,Pfizer/BioNTech,Government of Andorra
Andorra,AND,1/29/2021,0,0,0,0,66,0,0,0,854,Pfizer/BioNTech,Government of Andorra
Andorra,AND,1/30/2021,0,0,0,0,66,0,0,0,854,Pfizer/BioNTech,Government of Andorra
Andorra,AND,1/31/2021,0,0,0,0,66,0,0,0,854,Pfizer/BioNTech,Government of Andorra
Andorra,AND,2/1/2021,1036,1036,0,0,66,1,1,0,854,Pfizer/BioNTech,Government of Andorra
Argentina,ARG,12/29/2020,700,0,0,0,0,0,0,0,0,Sputnik V,Ministry of Health
Argentina,ARG,12/30/2020,0,0,0,0,15656,0,0,0,346,Sputnik V,Ministry of Health
Argentina,ARG,12/31/2020,32013,0,0,0,15656,0,0,0,346,Sputnik V,Ministry of Health
Argentina,ARG,1/1/2021,0,0,0,0,11070,0,0,0,245,Sputnik V,Ministry of Health
Argentina,ARG,1/2/2021,0,0,0,0,8776,0,0,0,194,Sputnik V,Ministry of Health
Argentina,ARG,1/3/2021,0,0,0,0,7400,0,0,0,164,Sputnik V,Ministry of Health
Argentina,ARG,1/4/2021,39599,0,0,0,6483,0,0,0,143,Sputnik V,Ministry of Health
Argentina,ARG,1/5/2021,0,0,0,0,7984,0,0,0,177,Sputnik V,Ministry of Health
Argentina,ARG,1/6/2021,0,0,0,0,8173,0,0,0,181,Sputnik V,Ministry of Health
Argentina,ARG,1/7/2021,0,0,0,0,8363,0,0,0,185,Sputnik V,Ministry of Health
Argentina,ARG,1/8/2021,107542,0,0,0,10519,0,0,0,233,Sputnik V,Ministry of Health
Argentina,ARG,1/9/2021,0,0,0,0,11942,0,0,0,264,Sputnik V,Ministry of Health
Argentina,ARG,1/10/2021,0,0,0,0,13365,0,0,0,296,Sputnik V,Ministry of Health
Argentina,ARG,1/11/2021,0,0,0,0,14788,0,0,0,327,Sputnik V,Ministry of Health
Argentina,ARG,1/12/2021,0,0,0,0,14056,0,0,0,311,Sputnik V,Ministry of Health
Argentina,ARG,1/13/2021,166833,0,0,0,13323,0,0,0,295,Sputnik V,Ministry of Health
Argentina,ARG,1/14/2021,0,0,0,0,13320,0,0,0,295,Sputnik V,Ministry of Health
Argentina,ARG,1/15/2021,200759,0,0,0,13317,0,0,0,295,Sputnik V,Ministry of Health
Argentina,ARG,1/16/2021,0,0,0,0,12971,0,0,0,287,Sputnik V,Ministry of Health
Argentina,ARG,1/17/2021,0,0,0,0,12624,0,0,0,279,Sputnik V,Ministry of Health
Argentina,ARG,1/18/2021,0,0,0,0,12278,0,0,0,272,Sputnik V,Ministry of Health
Argentina,ARG,1/19/2021,0,0,0,0,11932,0,0,0,264,Sputnik V,Ministry of Health
Argentina,ARG,1/20/2021,247933,243539,4394,0,11586,0,0,0,256,Sputnik V,Ministry of Health
Argentina,ARG,1/21/2021,265724,249372,16352,17791,11704,0,0,0,259,Sputnik V,Ministry of Health
Argentina,ARG,1/22/2021,279602,254456,25146,13878,11263,0,0,0,249,Sputnik V,Ministry of Health
